decision_point,trump,our_score,their_score,bidding_meld,defending_meld,hand,meld_total,ace_count,trump_length,longest_side_suit,has_run,has_pinochle,has_around,bid,score_diff,partner_has_bid,partner_has_passed,p_make,ev_take,ev_defend,ev_play_on,ev_fold,verdict_bid,verdict_fold
bid,D,460,600,,,10D_1 9C_2 9D_1 AD_1 AH_1 AH_2 AS_2 JD_2 JS_1 KC_2 KD_1 QC_2,30,4,5,3,0,0,0,300,-140,0,0,0.7733,119.9333,128.3333,,,0,
bid,H,600,460,,,10C_1 10C_2 10D_2 10H_2 9H_2 9S_2 JH_1 JS_2 KH_1 QC_1 QD_2 QH_2,50,0,5,3,0,0,0,310,140,0,0,0.6067,-97.3333,-131.3333,,,1,
bid,S,460,600,,,10S_2 9H_1 AD_2 AS_1 JC_1 JC_2 JD_1 JH_2 KD_2 KS_2 QS_1 QS_2,80,2,5,3,0,1,0,310,-140,1,0,0.9533,342.4667,75.4667,,,1,
bid,C,600,460,,,10H_1 10S_1 9C_1 9D_2 9S_1 AC_1 AC_2 KC_1 KH_2 KS_1 QD_1 QH_1,30,2,4,3,0,0,0,310,140,0,1,0.22,-301.4667,-17.1333,,,0,
fold,D,460,600,330,50,10D_1 9C_2 9D_1 AD_1 JD_1 JD_2 JS_1 KC_2 KD_1 QC_2 QS_1 QS_2,330,1,6,3,0,1,0,300,-140,0,0,1.0,,,369.3333,-350.0,,0
bid,C,730,960,,,10C_2 10D_1 10H_2 9C_2 9D_2 9S_2 AC_2 AS_2 JD_1 JD_2 JS_2 KS_2,10,2,3,4,0,0,0,300,-230,0,0,0.2667,-252.3333,-50.4,,,0,
bid,C,960,730,,,9C_1 9H_1 9H_2 AC_1 AD_2 AH_2 JH_1 KC_1 KS_1 QC_1 QH_2 QS_2,70,3,4,5,0,0,0,300,230,0,0,0.9,229.2,3.4,,,1,
bid,D,730,960,,,10H_1 10S_1 9D_1 9S_1 AD_1 AS_1 JC_1 KC_2 KD_1 QD_1 QH_1 QS_1,50,2,4,4,0,0,0,310,-230,0,1,0.48,-107.6667,-36.2,,,0,
bid,D,960,730,,,10C_1 10D_2 10S_2 AH_1 JC_2 JH_2 JS_1 KD_2 KH_1 KH_2 QC_2 QD_2,40,1,3,4,0,0,0,310,230,1,0,0.16,-388.8667,-73.1333,,,0,
fold,C,960,730,200,30,10C_1 9C_1 9H_2 AC_1 JC_2 JH_1 KC_1 KS_1 QC_1 QC_2 QH_2 QS_2,180,1,7,3,1,0,0,300,230,0,0,0.98,,,262.5333,-330.0,,0
bid,D,0,0,,,10S_1 9S_1 AD_1 AH_2 JC_1 JH_2 JS_2 KD_1 KH_1 KH_2 QD_1 QD_2,40,2,4,4,0,0,0,300,0,0,0,0.4467,-156.8667,-106.4667,,,0,
bid,S,0,0,,,10C_1 10C_2 10D_1 10H_1 10H_2 10S_2 9C_2 9H_1 AS_1 JD_2 KD_2 QH_2,0,1,2,4,0,0,0,300,0,0,0,0.0667,-421.8,-72.8,,,0,
bid,D,0,0,,,9S_2 AD_2 AH_1 AS_2 JC_2 JD_1 JH_1 KC_1 KC_2 QC_2 QH_1 QS_1,60,3,2,4,0,1,0,300,0,0,1,0.44,-173.7333,50.6667,,,0,
fold,C,0,0,80,100,10C_1 10C_2 9C_1 9D_2 9H_2 AC_1 AC_2 JD_2 JS_1 KS_1 QC_1 QS_2,70,2,6,3,0,1,0,250,0,0,0,0.4667,,,-186.5333,-350.0,,0
